0.001,100,0.10439168,0.01202819,0.00867810
0.005,100,0.43225727,0.04573320,0.02983411
0.01,100,0.69512069,0.06860855,0.03878004
0.05,100,1.08996918,0.11200687,0.01799780
0.1,100,1.09643169,0.12436207,0.00565764
0.5,100,1.09646081,0.12861719,0.00140252
1.0,100,1.09646081,0.12861723,0.00140248
5.0,100,-1186900427872142728632423690873933241842226958627778682033251290965868544.00000000,-1857234780657224946489273732884381517498837340938725121032655842485729436641143239475200.00000000,-1857234780657224946489273732884381517498837340938725121032655842485729436641143239475200.00000000
10.0,100,-997703499957723925907366930754978291639432822200332853648539840165088588301421554282800422774111383584768.00000000,-1306120657185955454867451729747033536744777423840413241618213638594938565312226739115145619324394759029728210317012369408.00000000,-1306120657185955741554778728505972488097389336601280841188837284630079032510831662480505130384995767782047349082723188736.00000000
0.6,80,1.09646081,0.12861718,0.00140254
